userName,score,at,comment
Yunita Yunita,5,2024-05-16 12:51:24,baik
Regirey A Mario,5,2024-05-16 12:50:15,Mantap
Sabila indah mukti Sabila,5,2024-05-16 12:49:12,sangat bagus
P r a y o g i,5,2024-05-16 12:48:34,Kece abis
mudin mudinhayat,5,2024-05-16 12:44:18,sangat membantu saya sangat senang aplikasinya bermanfaat bagi saya
Benny Edo,5,2024-05-16 12:42:15,terimakasih
gian mntw,5,2024-05-16 12:37:16,mantap
Capruk Boy,5,2024-05-16 12:35:47,baik
Saskia Elis,5,2024-05-16 12:33:50,ku kasih pul bintang
Soleman Noriwari,5,2024-05-16 12:31:04,Aplikasi ini baik untuk.. kita dapat mengecek apakah kita masih terdaftar di Jamsostek.. atau tidak.. dan Kita juga dapat mengecek berapa saldo rekening kita yang tersimpan
Nike Hidayati,4,2024-05-16 12:30:55,mudah di akses dan gampang di mengerti
Olenche mer,5,2024-05-16 12:27:44,mantal
Chomar Udin,5,2024-05-16 12:27:38,baik
Siti Masriah,5,2024-05-16 12:26:10,Mantap
Dindaa,4,2024-05-16 12:23:18,bagus
heri rachmat,5,2024-05-16 12:20:58,mantapp
Jefri Dewa,5,2024-05-16 12:07:44,bagus
Hasnah Ms hasnah,5,2024-05-16 12:01:03,Sangat mnembantu
Agung Afrilian,4,2024-05-16 11:58:12,Mantap mudah dimengerti
Bambang Kaka,5,2024-05-16 11:58:12,jos poll
Asyia astuty,5,2024-05-16 11:51:51,bagusss
Saiful Anwar,5,2024-05-16 11:42:08,mudah dimengerti
Ranni Astried,2,2024-05-16 11:41:02,Tdk bisa proses
Febrian Saputra,5,2024-05-16 11:40:58,semoga bisa bermanfaat bagi banyak orang.
Yupiter Yupiter danco,5,2024-05-16 11:35:20,Sangat membantu ketenaga kerjaan
Ojan madrojan,1,2024-05-16 11:27:44,Mantap
Cici Sri kurnia,5,2024-05-16 11:26:23,Aplikasi yang sangat membantu untuk transaksi
rahmah aljaelani,5,2024-05-16 11:25:45,tingkatkan terus...aplikasi ini
muhcim spalanzany,5,2024-05-16 11:24:54,proses cpt
Radiant Rock Room,5,2024-05-16 11:21:42,keren
Joice Hestyawatie Bukarakombang,4,2024-05-16 11:18:26,bagus yah
Fathur Al fatih,5,2024-05-16 11:18:09,👍
Siti Bulkiah,5,2024-05-16 11:08:17,bagus unt mengetahui cek saldo dan lain nya
Dedi Supriyadi,5,2024-05-16 10:59:39,bagus membantu
Psex Tabla,5,2024-05-16 10:58:57,ok banget
Adhi pangsabar,5,2024-05-16 10:58:11,Terima kasih JMO
Aimatul Muslimah12,5,2024-05-16 10:53:50,bagus
Jamal Jaka,5,2024-05-16 10:52:00,mantap
RIKI SUBAGJA,1,2024-05-16 10:38:16,Ini jmo knapa se min...jmo saya hanya muter2 saja...pulsa ada..paket ada..jaringan ada....tp sllu bertulisan pastikan koneksi internet anda.....udah di update tapi tetep aja gtu....mohon penjelasan nya..trims
Mido Immanuel,5,2024-05-16 10:29:57,bagus
Darwis Sinaya,3,2024-05-16 10:25:27,👍
Rismen Sinaga,5,2024-05-16 10:13:29,Ok
Marulloh Sembilansembilan,5,2024-05-16 10:09:18,ok
Caka Raditya,5,2024-05-16 10:00:54,Bagus
Robin Jk 93,5,2024-05-16 09:53:30,bagus
Cacing.GAMING,1,2024-05-16 09:40:56,ini knpa ya aq buka aplikasinya udh msukkan email sma sandi tpi gk mau ke buka
Desi Doang,5,2024-05-16 09:40:55,ok
Herus Shaleh,5,2024-05-16 09:40:47,sangat baik
Sarta Darsih,5,2024-05-16 09:39:08,mantaf
Hanan hanif,5,2024-05-16 09:36:26,oke
Ghaisan Bani,1,2024-05-16 09:35:43,Tidak bisa di klaim pelayanan buruk udah lewat lapak asik di jadwalin tgl 16 mei tapi udah jam lewat operasional belum juga di interview sangat buruk
Albi Faisal,5,2024-05-16 09:31:06,Baik
rijkard yuliandrea,5,2024-05-16 09:30:03,membantu sekali
Riska Zuhara,5,2024-05-16 09:28:55,good
Aan Dayakhoya,5,2024-05-16 09:22:18,"Terima Kasih ,Sangat Membantu Sekali"
azis wandik,4,2024-05-16 09:13:13,sangat mudah
Pendy Biyo,4,2024-05-16 09:08:03,Aman
ra kartini,5,2024-05-16 09:05:22,gampang banget
Dhanny Muhamad,5,2024-05-16 09:03:29,baik banget
iswara hidayat,5,2024-05-16 09:00:49,baik
Anto Pagiling,5,2024-05-16 08:59:29,Sangat membantu
Sistwiwi chanel,5,2024-05-16 08:57:25,layanan yang sangat mudah dan membantu
Anas Yanuardi,5,2024-05-16 08:48:02,Pelayanan terbaik
just juss,5,2024-05-16 08:44:31,good
Neng Tianurlita,5,2024-05-16 08:41:51,baik
Adelia Ramadhani,5,2024-05-16 08:41:03,lumayan membantu
Banyu Biru,5,2024-05-16 08:35:00,Lancar jaya
